Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,18274.18,219290.16,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0,USD,,Working days per month (22)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,112.52,1350.24,USD,,"Data transfer out to internet (1024 GB per month), Data transfer out to origin (1024 GB per month), Number of requests (HTTPS) (5000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,,S3 Standard storage (10240 GB per month)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,6534.912,78418.94,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m6a.8xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,10557,126684,USD,,"Storage amount (2000 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (2), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (10000 GB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,500.05,6000.6,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,255.25,3063,USD,,"Number of Metrics (includes detailed and custom metrics) (10), Standard Logs: Data Ingested (500 GB)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
Rationale:,,,,,,,,,
- Add more resources usage to increase performance,,,,,,,,,
- Increase EC2 instances from 4 to 6 and change instance type from m6a.4xlarge to m6a.8xlarge,,,,,,,,,
- Change RDS instance type from db.m5.4xlarge to db.m5.8xlarge,,,,,,,,,
- Enable RDS Proxy. RDS Proxy will make applications more resilient to database failures,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
